遥测名,ac,acc,ac evo,ac rally,F1 22,F1 23,F1 24,F1 25,Forza Motorsport,FH4,FH5,FH6,lmu,rf2,Dirt4,DirtRally2,eawrc,iracing,RaceRoom Racing Experience,"Automobilista 2",Project CARS 2,Project CARS 3,Richard Burns Rally,Euro Truck Simulator 2,American Truck Simulator,Live For Speed,BeamNG.drive,WRC 8,WRC 9,WRC 10,WRC Generations,,,,,,,
油门行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,,,,,,,
刹车行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,,,,,,,
离合行程,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,,,,,,,
转向,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
档位,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,,,,,,,
车速(km/h),支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,,,,,,,
当前转速,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,,,,,,,
最大转速,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,不支持,不支持,支持,支持,支持,支持,,,,,,,
换档转速,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
轮胎压力,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
轮胎核心温度,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,不支持,支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
胎面内侧温度,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
胎面中间温度,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
胎面外侧温度,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
轮胎磨损,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
刹车温度,不支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
车轮抱死,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
车轮打滑,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
剩余油量(升),支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
剩余油量百分比,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,,,,,,,
水温,不支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
油温,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,不支持,支持,支持,不支持,支持,不支持,不支持,不支持,不支持,,,,,,,
